LakeName,County,Species,RegulationType,DailyLimit,PossessionLimit,MinimumSize,MaximumSize,ProtectedSlot,IsCatchAndRelease,RegulationDetails
"LITTLE BOY LAKE","Cass","Walleye","PossessionLimit",,4,"","","",False,"Walleye: all from 18‑26"" must be immediately released, possession limit 4, only 1 over 26"""
"LITTLE CORMORANT LAKE","Becker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LITTLE CORMORANT LAKE","Becker","Crappie","SizeLimit",,,"10""","","",False,"Crappie: minimum size limit 10"""
"LITTLE CORMORANT LAKE","Becker","Walleye","SizeLimit",,,"17""","","",False,"Walleye: minimum size limit 17"", only 1 over 20"" allowed in possession"
"LITTLE FLOYD LAKE","Becker","Northern Pike","Combined",3,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, daily limit 3, only 1 over 36"""
"LITTLE MANTRAP LAKE","Hubbard","Largemouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession"
"LITTLE MCDONALD LAKE including Kerbs Lake","Otter Tail","Walleye","ProtectedSlot",,,"","","17-26""",False,"Walleye: all from 17-26"" must be immediately released, only 1 over 26"" allowed in possession"
"LITTLE SPLITHAND LAKE","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LITTLE SUGAR BUSH LAKE","Becker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LITTLE TOAD LAKE","Becker","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"LITTLE TOAD LAKE","Becker","Northern Pike","PossessionLimit",,3,"","","",False,"Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"""
"LITTLE TROUT LAKE","St. Louis","Trout","CatchAndRelease",,,"","","",True,"Lake trout: catch-and-release only"
"LITTLE TURTLE LAKE near Marcell","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LITTLE VERMILION LAKE including Loon River to Loon River Falls portage","St. Louis","Walleye","ProtectedSlot",,,"","","18-26""",False,"Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession"
"LITTLE VERMILION LAKE including Loon River to Loon River Falls portage","St. Louis","Walleye","PossessionLimit",,6,"","","",False,"Walleye and sauger: possession limit 6 combined, only 4 may be walleye"
"LITTLE WEBB LAKE","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"LITTLE WEBB LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LITTLE WOMAN LAKE","Cass","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"LONG LAKE near Hawick","Kandiyohi","Largemouth Bass","General",,,"","","",False,"Largemouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession"
"LONG LAKE near Hawick","Kandiyohi","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"LONG LAKE near Clearwater","Stearns","Largemouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession"
"LONG LAKE near Clearwater","Stearns","Catfish","General",,,"","","",False,"⁕NEW—LONG LAKE south of Richmond (Stearns) Special regulation for catfish repealed"
"LONG LAKE near Clearwater","Stearns","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"LONG LAKE including connected Lily Lake","Todd","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LONG LAKE near Burtrum","Todd","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"LONG LAKE near Spaulding","Todd","Sunfish","PossessionLimit",,10,"","","",False,"Sunfish: possession limit 10"
"LONG LAKE near Vergas","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"LOW LAKE","St. Louis","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"MAHNOMEN MINE and connected Alstead and Arco Mines","Crow Wing","Trout","General",,,"","","",False,"Lake trout: minimum length limit 20"""
"MANDALL LAKE","Chisago","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"MANDALL LAKE","Chisago","Walleye","SizeLimit",,,"17""","","",False,"Walleye: minimum size limit 17"", only 1 over 20"" allowed in possession"
"MAPLE LAKE","Douglas","Crappie","SizeLimit",,,"10""","","",False,"Crappie: minimum size limit 10"""
"MAPLE LAKE","Todd","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"MAPLE LAKE, Upper","Wright","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"MAPLE LAKE, Upper","Wright","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"MARION LAKE","Dakota","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MARTIN LAKE","Anoka","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"MARY LAKE","Hubbard","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession"
"MARY LAKE","Hubbard","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"MARY LAKE","Hubbard","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MARY LAKE","Todd","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MAUD LAKE","Becker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MAUD LAKE","Becker","Crappie","General",,,"","","",False,"Crappie: size limit 10"""
"MAUD LAKE","Becker","Smallmouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth and smallmouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession"
"MAZASKA LAKE","Rice","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MEDICINE LAKE","Beltrami","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"MEDICINE LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MEDICINE LAKE","Hennepin","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"MEDICINE LAKE","Hennepin","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MELISSA LAKE","Becker","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"MIDDLE LAKE","Otter Tail","Largemouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession"
"MIDDLE LAKE","Otter Tail","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MILL LAKE","Douglas","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"MINERVA LAKE","Clearwater","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MINK-SOMERS LAKE near Maple Lake","Wright","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MINK-SOMERS LAKE near Maple Lake","Wright","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"MINK-SOMERS LAKE near Maple Lake","Wright","Walleye","SizeLimit",,,"17""","","",False,"Walleye: minimum size limit 17"""
"MINK-SOMERS LAKE near Maple Lake","Wright","Largemouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession"
"MINK-SOMERS LAKE near Maple Lake","Wright","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"MINNEWASHTA LAKE","Carver","Largemouth Bass","CatchAndRelease",,,"","","",True,"Largemouth bass: catch-and-release only"
"MINNEWASKA LAKE","Pope","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"MINNEWAWA LAKE and connected Horseshoe Lake","Aitkin","Walleye","PossessionLimit",,3,"","","",False,"Walleye: possession limit 3"
"MINNEWAWA LAKE and connected Horseshoe Lake","Aitkin","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"MINNIE BELLE LAKE","Meeker","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"MINNIE BELLE LAKE","Meeker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MISSION LAKES, Lower and Upper","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"MISSION LAKES, Lower and Upper","Crow Wing","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"MISSION LAKES, Lower and Upper","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MITCHELL LAKE","Crow Wing","Northern Pike","PossessionLimit",,3,"","","",False,"Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"""
"MOCCASIN LAKE","Cass","Largemouth Bass","CatchAndRelease",,,"","","",True,"Largemouth bass: catch-and-release only"
"MOCCASIN LAKE","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"MOCCASIN LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MOON LAKE","Douglas","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MOOSE LAKE near Deer River","Itasca","Walleye","General",,,"","","",False,"Walleye: all from 20‑24"" must be immediately released, only 1 over 24"" allowed in possession"
"MOOSE LAKE","Todd","Largemouth Bass","General",,,"","","",False,"Largemouth bass: all 12"" and larger must be immediately released"
"MOOSE LAKE","Todd","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MOOSEHEAD LAKE","Carlton","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"MOOSEHEAD LAKE","Carlton","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"MOUND LAKE","Todd","Crappie","PossessionLimit",,5,"","","",False,"Crappie: possession limit 5"
"MUKOODA LAKE","St. Louis","Trout","CatchAndRelease",,,"","","",True,"Lake trout: catch-and-release only"
"MULE LAKE","Cass","Walleye","PossessionLimit",,3,"","","",False,"Walleye: possession limit 3"
"AMAKAN LAKE","St. Louis","Walleye","General",,,"","","",False,"Walleye: all from 18‑26"" must be immediately released, only 1 over 26"" allowed in possession"
"AMAKAN LAKE","St. Louis","Walleye","PossessionLimit",,6,"","","",False,"Walleye and sauger: possession limit 6 combined, only 4 may be walleye"
"AMAKAN LAKE","St. Louis","Walleye","General",,,"","","",False,"Walleye: all from 18‑26"" must be immediately released, only 1 over 26"" allowed in possession"
"AMAKAN LAKE","St. Louis","Walleye","PossessionLimit",,6,"","","",False,"Walleye and sauger: possession limit 6 combined, only 4 may be walleye"
"ST LAKE","Kandiyohi","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"ORTH LONG LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"ORTH LONG LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ORTH STAR LAKE including Little North Star Lake","Itasca","Northern Pike","PossessionLimit",,3,"","","",False,"Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"""
"ORTH TURTLE LAKE","Otter Tail","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"ORTH TURTLE LAKE","Otter Tail","Crappie","SizeLimit",,,"10""","","",False,"Crappie: minimum size limit 10"""
"ORTH TWIN LAKE","Beltrami","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"ORWAY LAKE","Otter Tail","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"ORWAY LAKE","Otter Tail","Crappie","SizeLimit",,,"10""","","",False,"Crappie: minimum size limit 10"""
"ORWAY LAKE","Otter Tail","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"OLSON LAKE","Washington","Largemouth Bass","CatchAndRelease",,,"","","",True,"Largemouth bass: catch-and-release only"
"OLSON LAKE","Washington","Crappie","DailyLimit",5,,"","","",False,"⁕NEW—ORWELL RESERVOIR and up to Dayton Hollow Dam (Otter Tail) Crappie: daily limit 5"
"OSAKIS and Little Osakis lakes","Douglas and Todd","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"OSAKIS and Little Osakis lakes","Douglas and Todd","Walleye","SizeLimit",,,"15""","","",False,"Walleye: minimum size limit 15"", only 1 over 20"" allowed in possession"
"OWASSO LAKE","Ramsey","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"OX YOKE LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"OZAWINDIB LAKE","Clearwater","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession"
"OZAWINDIB LAKE","Clearwater","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"PARLEY LAKE","Carver","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"PARLEY LAKE","Carver","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"PELICAN LAKE","St. Louis","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession"
"PENNINGTON MINE","Crow Wing","Trout","SizeLimit",,,"20""","","",False,"Lake trout: minimum size limit 20"""
"PERCH LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"PERCH LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"PICKEREL LAKE","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"PIERZ","FISH","Largemouth Bass","ProtectedSlot",,,"","","14-20""",False,"LAKE (Morrison) Largemouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"PIMUSHE LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"PLATTE LAKE","Crow Wing","Sunfish","PossessionLimit",,10,"","","",False,"Sunfish: possession limit 10"
"PLEASANT LAKE","Stearns","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"POKEGAMA LAKE near Grand Rapids","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"POKEGAMA LAKE and connected waters including the Snake River from the Little Walleye landing downstream to the I-35 bridges","Pine","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"PORTAGE LAKE North of Ten Mile Lake","Cass","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"PRAIRIE LAKE","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"PRIOR LAKE, Upper and Lower","Scott","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"PRIOR LAKE, Upper and Lower","Scott","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"RABBIT LAKES, Big and East Big","Crow Wing","Northern Pike","General",,,"","","",False,"Northern pike: all from 24‑36"" must be immediately released"
"RABOUR LAKE","Chisago","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"RABOUR LAKE","Chisago","Walleye","SizeLimit",,,"17""","","",False,"Walleye: minimum size limit 17"", only 1 over 20"" allowed in possession"
"RACHEL LAKE and Little Rachel Lake","Douglas","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"RAINY LAKE including the Rainy River above the dam at International Falls, all of Rainy Lake to the dam at Kettle Falls, Black Bay including Gold Portage below the rapids, all of the Rat Root River, and Rat Root Lake","Koochiching and St. Louis","Walleye","PossessionLimit",,8,"","","",False,"Walleye and sauger: possession limit 8 (not more than 4 can be walleye)"
"RAINY LAKE including the Rainy River above the dam at International Falls, all of Rainy Lake to the dam at Kettle Falls, Black Bay including Gold Portage below the rapids, all of the Rat Root River, and Rat Root Lake","Koochiching and St. Louis","Walleye","General",,,"","","",False,"All walleye from 18‑26"" must be immediately released, only 1 walleye over 26"" allowed in possession"
"RAT LAKE","Aitkin","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"RED RIVER LAKE","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"RED ROCK LAKE","Douglas","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"RED WING POTTERY POND","Goodhue","Trout","General",,,"","","",False,"Trout: continuous season"
"RENO LAKE","Pope","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"RICE LAKE and connected Inguadona Lake","Cass","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"RICE LAKE and connected Inguadona Lake","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"RILEY LAKE","Carver","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"RILEY LAKE","Carver","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"RIPLEY LAKE","Meeker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ROGERS LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"ROGERS LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ROUND LAKE","Douglas","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ROUND LAKE near Harding","Morrison","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ROUND LAKE near Squaw Lake including the Popple River downstream to State Highway Bridge 46","Itasca","Walleye","ProtectedSlot",,,"","","20-24""",False,"Walleye: all from 20-24"" must be immediately released, only 1 over 24"" allowed in possession"
"RUSH LAKE, East and West","Chisago","Northern Pike","ProtectedSlot",,,"","","26-40""",False,"Northern pike: all from 26-40"" must be immediately released"
"SAGAMORE MINE","Crow Wing","Trout","SizeLimit",,,"20""","","",False,"Lake trout: minimum size limit 20"""
"SAGAMORE MINE","Crow Wing","Walleye","General",,,"","","",False,"⁕NEW—SAGANAGA LAKE including Gull Lake and the Sea Gull River (Cook) Walleye: repealed (only applies to the 17"" minimum size limit)"
"SALLIE LAKE","Becker","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"SANBORN LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SAND LAKE and connected Talac and Sorenson Lakes","Becker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SAND LAKE including connecting Birds Eye Lake, Little Sand Lake, Portage Lake and Bowstring River upstream to County Road 35 bridge and downstream to the County Road 145 bridge","Itasca","Walleye","ProtectedSlot",,,"","","17-26""",False,"Walleye: all 17-26"" must be immediately released, only 1 over 26"" allowed in possession"
"SAND LAKE including connecting Birds Eye Lake, Little Sand Lake, Portage Lake and Bowstring River upstream to County Road 35 bridge and downstream to the County Road 145 bridge","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SAND LAKE","Lake","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SAND POINT LAKE","St. Louis","Walleye","ProtectedSlot",,,"","","18-26""",False,"Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession"
"SAND POINT LAKE","St. Louis","Walleye","PossessionLimit",,6,"","","",False,"Walleye and sauger possession limit 6 combined, only 4 may be walleye"
"SARAH LAKE","Hennepin","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"SARAH LAKE","Hennepin","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SARAH LAKE","Polk","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"SARAH LAKE","Polk","Catfish","General",,,"","","",False,"⁕NEW—SAUK RIVER CHAIN OF LAKES from Highway 23 downstream to the Cold Spring Dam including Becker, Bolfing, Cedar Island, Great Northern, Horseshoe, Knaus, Krays, Schneider and Zumwalde lakes (Stearns) Catfish special regulation repealed"
"SARAH LAKE","Polk","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"SEWELL LAKE","Otter Tail","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"SHAKOPEE LAKE","Mille Lacs","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SHAMINEAU LAKE","Morrison","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"SHIELDS LAKE","Rice","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"SHIELDS LAKE","Washington","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SOUTH LINDSTROM LAKE","Chisago","Largemouth Bass","General",,,"","","",False,"Largemouth bass: all 12"" and larger must be immediately released"
"SOUTH TWIN LAKE","Beltrami","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession"
"SPIDER LAKE","Hubbard","Crappie","SizeLimit",,,"10""","","",False,"Crappie: minimum size limit 10"""
"SPIDER LAKE","Itasca","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"SPLITHAND LAKE including Moody’s Creek upstream to County Road 432","Itasca","Walleye","ProtectedSlot",,,"","","20-24""",False,"Walleye: all from 20-24"" must be immediately released, only 1 over 24"" allowed in possession"
"SPLITHAND LAKE including Moody’s Creek upstream to County Road 432","Itasca","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"SPLITHAND LAKE including Moody’s Creek upstream to County Road 432","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ST. OLAF LAKE","Waseca","Northern Pike","SizeLimit",,,"30""","","",False,"Northern pike: minimum size limit 30"""
"ST. OLAF LAKE","Waseca","Sunfish","DailyLimit",5,,"","","",False,"⁕NEW—STAR LAKE (Otter Tail) Sunfish: daily limit 5"
"ST. OLAF LAKE","Waseca","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"STEIGER LAKE","Carver","Northern Pike","CatchAndRelease",,,"","","",True,"Northern pike and largemouth bass: catch-and-release only"
"STRAND LAKE","St. Louis","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"STRAND LAKE","St. Louis","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"STUART LAKE","Otter Tail","Crappie","SizeLimit",,,"10""","","",False,"Crappie: minimum size limit 10"""
"STUART LAKE","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"SUCKER LAKES, Upper, Middle, and Lower","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"SUCKER LAKES, Upper, Middle, and Lower","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SUGAR LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SUGAR LAKE","Wright","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"SUGAR LAKE","Wright","Northern Pike","General",,,"","","",False,"Northern pike: all from 24‑36"" must be immediately released"
"SULLIVAN LAKE","Morrison","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"SWAN LAKE including Swan River downstream to dam, upstream to County Road 12, and connected streams","Itasca","Walleye","ProtectedSlot",,,"","","20-24""",False,"Walleye: all from 20-24"" must be immediately released, only 1 over 24"" allowed in possession"
"SYLVAN LAKE near Pillager","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"SYLVAN LAKE near Pillager","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"SYLVIA LAKES, East and West","Wright","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"SYLVIA LAKES, East and West","Wright","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"TAMARACK LAKE, North","Becker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"TEN MILE LAKE, North and South","Otter Tail","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"THIRTEEN LAKE","Cass","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession"
"THIRTEEN LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"THREE ISLAND LAKE including Turtle River","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"TRELIPE LAKE, Lower","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"TRELIPE LAKE, Upper","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"TROUT LAKE near Coleraine","Itasca","Walleye","General",,,"","","",False,"Walleye: all from 20‑24"" must be immediately released, only 1 over 24"" allowed in possession"
"TURTLE LAKE","Becker","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"TURTLE LAKE","Itasca","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Smallmouth bass (regulation modified): all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"TURTLE LAKE","Ramsey","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Largemouth and smallmouth bass (regulation modified): all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"TURTLE RIVER chain of lakes including connected Turtle River Lake, Little Turtle, Big Turtle, Movil, Beltrami, Fox lakes, and the Turtle River from Little Turtle Lake downstream to Fox Lake","Beltrami","Northern Pike","ProtectedSlot",,,"","","22-30""",False,"Northern pike: all from 22-30"" must be immediately released, possession limit is 10, only 1 over 30"""
"TURTLE RIVER chain of lakes including connected Turtle River Lake, Little Turtle, Big Turtle, Movil, Beltrami, Fox lakes, and the Turtle River from Little Turtle Lake downstream to Fox Lake","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"TWENTY-ONE LAKE","Otter Tail","Sunfish","PossessionLimit",,10,"","","",False,"Sunfish: possession limit 10"
"TWENTY-ONE LAKE","Otter Tail","Northern Pike","CatchAndRelease",,,"","","",True,"Northern pike, largemouth and smallmouth bass: catch-and-release only"
"TWENTY-ONE LAKE","Otter Tail","Crappie","PossessionLimit",,5,"","","",False,"Crappie: possession limit 5"
"TWO ISLAND LAKE","Cook","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
