LakeName,County,RegulationText,HasCrossReference,IsCompoundEntry,SpeciesCount
"ORTH STAR LAKE including Little North Star Lake","Itasca","Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"".",False,True,1
"ORTH TURTLE LAKE","Otter Tail","Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession. Crappie: minimum size limit 10"".",False,False,2
"ORTH TWIN LAKE","Beltrami","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"ORWAY LAKE","Otter Tail","Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession. Crappie: minimum size limit 10"". Daily limit 5. Sunfish: daily limit 5.",False,False,3
"OLSON LAKE","Washington","Largemouth bass: catch-and-release only. ⁕NEW—ORWELL RESERVOIR and up to Dayton Hollow Dam (Otter Tail) Crappie: daily limit 5.",False,False,2
"OSAKIS and Little Osakis lakes","Douglas and Todd","Sunfish: daily limit 10. Walleye: minimum size limit 15"", only 1 over 20"" allowed in possession.",False,False,2
"OWASSO LAKE","Ramsey","Sunfish: daily limit 5.",False,False,1
"OX YOKE LAKE","Cass","Sunfish: daily limit 5.",False,False,1
"OZAWINDIB LAKE","Clearwater","Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession. Crappie: daily limit 5.",False,False,2
"PARLEY LAKE","Carver","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"PELICAN LAKE","St. Louis","Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"PENNINGTON MINE","Crow Wing","Lake trout: minimum size limit 20"". Possession limit 1.",False,False,1
"PERCH LAKE","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"PICKEREL LAKE","Itasca","Sunfish: daily limit 5.",False,False,1
"PIERZ","FISH","LAKE (Morrison) Largemouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"PIG LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"PIKE BAY LAKE and connected Fox Creek","Cass","See Cass Chain.",True,True,0
"PIMUSHE LAKE","Beltrami","Sunfish: daily limit 5.",False,False,1
"PINE LAKE, BIG","Otter Tail","See Big Pine Lake (Otter Tail County).",True,False,0
"PLATTE LAKE","Crow Wing","Sunfish: possession limit 10.",False,False,1
"PLEASANT LAKE","Stearns","Sunfish: daily limit 5.",False,False,1
"POKEGAMA LAKE near Grand Rapids","Itasca","Sunfish: daily limit 5.",False,False,1
"POKEGAMA LAKE and connected waters including the Snake River from the Little Walleye landing downstream to the I-35 bridges","Pine","Sunfish: daily limit 10.",False,True,1
"PORTAGE LAKE North of Ten Mile Lake","Cass","largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"PRAIRIE LAKE","Otter Tail","Sunfish: daily limit 10.",False,False,1
"PRIOR LAKE, Upper and Lower","Scott","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"QUARRY HILL NATURE CENTER POND","Olmsted","See Rochester–Olmsted County Area Lakes.",True,False,0
"RABBIT LAKES, Big and East Big","Crow Wing","Northern pike: all from 24‑36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"RABBITS","Itasca","See Winnibigoshish.",True,False,0
"RABOUR LAKE","Chisago","Crappie: daily limit 5. Walleye: minimum size limit 17"", only 1 over 20"" allowed in possession.",False,False,2
"RACHEL LAKE and Little Rachel Lake","Douglas","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"RAINY LAKE including the Rainy River above the dam at International Falls, all of Rainy Lake to the dam at Kettle Falls, Black Bay including Gold Portage below the rapids, all of the Rat Root River, and Rat Root Lake","Koochiching and St. Louis","Walleye and sauger: possession limit 8 (not more than 4 can be walleye). All walleye from 18‑26"" must be immediately released, only 1 walleye over 26"" allowed in possession.",False,True,2
"RAT LAKE","Aitkin","Sunfish: daily limit 10.",False,False,1
"RAVEN LAKE","Itasca","See Winnibigoshish.",True,False,0
"RAY LAKE","Cass","See Gull Chain.",True,False,0
"RED RIVER LAKE","Otter Tail","Sunfish: daily limit 10.",False,False,1
"RED ROCK LAKE","Douglas","Sunfish: daily limit 10.",False,False,1
"RED WING POTTERY POND","Goodhue","Trout: continuous season. Possession limit 3, only 1 over 16"" allowed in possession.",False,False,1
"RENO LAKE","Pope","Sunfish: daily limit 10.",False,False,1
"RICE LAKE and connected Inguadona Lake","Cass","Sunfish: daily limit 10. Crappie: daily limit 5.",False,True,2
"RICE LAKE east side of Brainerd","Crow Wing",": See Mississippi River.",True,False,0
"RILEY LAKE","Carver","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"RIPLEY LAKE","Meeker","Sunfish: daily limit 5.",False,False,1
"ROGERS LAKE","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"ROUND LAKE","Crow Wing","See Gull Chain.",True,False,0
"ROUND LAKE","Douglas","Sunfish: daily limit 5.",False,False,1
"ROUND LAKE near Harding","Morrison","Sunfish: daily limit 5.",False,False,1
"ROUND LAKE near Squaw Lake including the Popple River downstream to State Highway Bridge 46","Itasca","Walleye: all from 20-24"" must be immediately released, only 1 over 24"" allowed in possession.",False,True,1
"ROY LAKE","Crow Wing","See Gull Chain.",True,False,0
"RUSH LAKE, East and West","Chisago","Northern pike: all from 26-40"" must be immediately released. Possession limit 3, only 1 over 40"".",False,False,1
"RUSH-HEN LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"SAGAMORE MINE","Crow Wing","Lake trout: minimum size limit 20"". Possession limit 1. ⁕NEW—SAGANAGA LAKE including Gull Lake and the Sea Gull River (Cook) Walleye: repealed (only applies to the 17"" minimum size limit). Possession limit 3, only 1 over 20"".",False,False,2
"SALLIE LAKE","Becker","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"SANBORN LAKE","Cass","Sunfish: daily limit 5.",False,False,1
"SAND LAKE and connected Talac and Sorenson Lakes","Becker","Sunfish: daily limit 5.",False,True,1
"SAND LAKE including connecting Birds Eye Lake, Little Sand Lake, Portage Lake and Bowstring River upstream to County Road 35 bridge and downstream to the County Road 145 bridge","Itasca","Walleye: all 17-26"" must be immediately released, only 1 over 26"" allowed in possession. Sunfish: daily limit 5.",False,True,2
"SAND LAKE","Lake","Sunfish: daily limit 5.",False,False,1
"SAND POINT LAKE","St. Louis","Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession. Walleye and sauger possession limit 6 combined, only 4 may be walleye.",False,False,2
"SANDY RIVER LAKE","Aitkin","See Big Sandy Lake.",True,False,0
"SARAH LAKE","Hennepin","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"SARAH LAKE","Polk","Sunfish: daily limit 10. ⁕NEW—SAUK RIVER CHAIN OF LAKES from Highway 23 downstream to the Cold Spring Dam including Becker, Bolfing, Cedar Island, Great Northern, Horseshoe, Knaus, Krays, Schneider and Zumwalde lakes (Stearns) Catfish special regulation repealed. Sunfish: daily limit 10.",False,False,3
"SCHNEIDER LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"SCRAPPER LAKE","Itasca","See Balsam Lake (Itasca). ⁕NEW—SEA GULL LAKE including Alpine River between Alpine Lake and Sea Gull Lake (Cook) Walleye: repealed (only applies to 17"" minimum size limit). Possession limit 3, only 1 over 20"".",True,False,0
"SEWELL LAKE","Otter Tail","Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"SHAKOPEE LAKE","Mille Lacs","Sunfish: daily limit 5.",False,False,1
"SHAMINEAU LAKE","Morrison","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"SHIELDS LAKE","Rice","Sunfish: daily limit 10.",False,False,1
"SHIELDS LAKE","Washington","Sunfish: daily limit 5.",False,False,1
"SILVER CREEK RESERVOIR","Olmsted","See Rochester–Olmsted County Area Lakes.",True,False,0
"SILVER LAKE","Olmsted","See Rochester–Olmsted County Area Lakes. ⁕NEW—SOUTH FARM LAKE (Lake) Northern pike special regulation repealed. Walleye: all from 17-26"" must be immediately released, only 1 over 26"" allowed in possession.",True,False,0
"SOUTH LINDSTROM LAKE","Chisago","Largemouth bass: all 12"" and larger must be immediately released.",False,False,1
"SOUTH TWIN LAKE","Beltrami","Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"SPIDER LAKE","Hubbard","Crappie: minimum size limit 10"".",False,False,1
"SPIDER LAKE","Itasca","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"SPLITHAND LAKE including Moody’s Creek upstream to County Road 432","Itasca","Walleye: all from 20-24"" must be immediately released, only 1 over 24"" allowed in possession. Crappie: daily limit 5. Sunfish: daily limit 5.",False,True,3
"ST. OLAF LAKE","Waseca","Northern pike: minimum size limit 30"". Possession limit 1. ⁕NEW—STAR LAKE (Otter Tail) Sunfish: daily limit 5. Crappie: daily limit 5.",False,False,3
"STEIGER LAKE","Carver","Northern pike and largemouth bass: catch-and-release only.",False,False,1
"STRAND LAKE","St. Louis","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"STUART LAKE","Otter Tail","Crappie: minimum size limit 10"". Sunfish: daily limit 10.",False,False,2
"SUCKER LAKES, Upper, Middle, and Lower","Cass","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"SUGAR LAKE","Cass","Sunfish: daily limit 5.",False,False,1
"SUGAR LAKE","Wright","Crappie: daily limit 5. Northern pike: all from 24‑36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,2
"SULLIVAN LAKE","Morrison","Sunfish: daily limit 10.",False,False,1
"SWAN LAKE including Swan River downstream to dam, upstream to County Road 12, and connected streams","Itasca","Walleye: all from 20-24"" must be immediately released, only 1 over 24"" allowed in possession.",False,True,1
"SWIFT LAKE","Cass","See Boy Lake.",True,False,0
"SYLVAN LAKE near Pillager","Cass","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"SYLVIA LAKES, East and West","Wright","Crappie: daily limit 5. Sunfish: daily limit 10.",False,False,2
"TAMARACK LAKE, North","Becker","Sunfish: daily limit 5.",False,False,1
"TEN MILE LAKE, North and South","Otter Tail","Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"THIRTEEN LAKE","Cass","Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession. Sunfish: daily limit 5.",False,False,2
"THREE ISLAND LAKE including Turtle River","Beltrami","Sunfish: daily limit 5.",False,True,1
"TRELIPE LAKE, Lower","Cass","Sunfish: daily limit 5.",False,False,1
"TRELIPE LAKE, Upper","Cass","Sunfish: daily limit 5.",False,False,1
"TROUT LAKE near Coleraine","Itasca","Walleye: all from 20‑24"" must be immediately released, only 1 over 24"" allowed in possession.",False,False,1
"TURTLE LAKE","Becker","Sunfish: daily limit 10.",False,False,1
"TURTLE LAKE, BIG including connected Turtle River","Beltrami","See Turtle River chain of lakes.",True,True,0
"TURTLE LAKE","Itasca","Smallmouth bass (regulation modified): all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"TURTLE LAKE","Ramsey","Largemouth and smallmouth bass (regulation modified): all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"TURTLE RIVER chain of lakes including connected Turtle River Lake, Little Turtle, Big Turtle, Movil, Beltrami, Fox lakes, and the Turtle River from Little Turtle Lake downstream to Fox Lake","Beltrami","Northern pike: all from 22-30"" must be immediately released, possession limit is 10, only 1 over 30"". Sunfish: daily limit 5.",False,True,2
"TWENTY-ONE LAKE","Otter Tail","Sunfish: possession limit 10. Northern pike, largemouth and smallmouth bass: catch-and-release only. Crappie: possession limit 5.",False,False,3
"TWO ISLAND LAKE","Cook","Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"VANDUSE","Hobo","LAKE (Aitkin) Sunfish: daily limit 10.",False,False,1
"VENSTROM LAKE","Otter Tail","Crappie: minimum size limit 11"". Walleye: all from 17‑26"" must be immediately released, only 1 over 26"" allowed in possession. Sunfish: daily limit 10.",False,False,3
"VERMILLION LAKE","Cass","Sunfish: daily limit 5.",False,False,1
"VERMILION LAKE","St. Louis","Walleye: all from 20-26"" must be immediately released. Possession limit 4, only 1 over 26"".",False,False,1
"VERMONT LAKE","Douglas","Sunfish: daily limit 10.",False,False,1
"VILLARD LAKE","Pope","Sunfish: daily limit 10.",False,False,1
"ABEDO LAKE","Cass","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"". Walleye: all from 18-26"" must be immediately released. Possession limit 4, only 1 over 26"".",False,False,2
"ACONIA LAKE","Carver","Walleye: minimum size limit 16"", only 1 over 20"" allowed in possession.",False,False,1
"ALL LAKE","Otter Tail","Sunfish: daily limit 10.",False,False,1
"ASHINGTON LAKE","Le Sueur","Sunfish: daily limit 10.",False,False,1
"AUKENABO LAKE and connected West Lake","Aitkin","Sunfish: daily limit 10.",False,True,1
"LCH LAKE","Cass","See Crooked Lake. ⁕NEW—WEST BATTLE LAKE (Otter Tail) Crappie: daily limit 5.",True,False,0
"ST LOST LAKE","Otter Tail","Sunfish: daily limit 10.",False,False,1
"ST SILENT LAKE","Otter Tail","Sunfish: daily limit 5.",False,False,1
"HISKEY LAKE","Douglas","Sunfish: daily limit 5. ⁕NEW—WHITE IRON LAKE (St. Louis and Lake) Northern pike special regulation repealed. Walleye: all from 17‑26"" must be immediately released, only 1 over 26"" allowed in possession.",False,False,3
"HITEFACE RESERVOIR","St. Louis","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"HITEFISH CHAIN, including connected Cross Lake Reservoir, Lower Hay, Arrowhead, Bertha, Clamshell, Big Trout, Pig, Island-Loon, Rush-Hen, Dagget, and Little Pine lakes","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,True,2
"HITEFISH LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"ILD RICE RESERVOIR","St. Louis","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"ILLOW CREEK RESERVOIR","Olmsted","See Rochester–Olmsted County Area Lakes.",True,False,0
"INDIGO LAKE","Beltrami","See Cass Chain.",True,False,0
"INNIBIGOSHISH Lake and connected waters","Beltrami, Cass, and Itasca",": Mississippi River to Knutson Dam, Third River Flowage to Little Dixon Lake, Pigeon River to Pigeon Lake Dam, First River, Egg Lake through Cut Foot Sioux Lake, Little Cut Foot Sioux Lake, Raven Flowage to Raven Lake, and Sugar Lake. Sunfish: daily limit 5. Walleye: all from 18‑23"" must be immediately released, only 1 over 23"" allowed in possession.",False,True,2
"OLF LAKE","Beltrami","See Cass Lake Chain.",True,False,0
"OMAN LAKE","Cass","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"YAWKEY MINE","Crow Wing","Lake trout: minimum size limit 20"". Possession limit 1.",False,False,1
"ZUMWALDE LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"ASH RIVER","St. Louis","See Kabetogama Lake.",True,False,0
"BELLE CREEK","Goodhue","Trout: catch-and-release on a 7.3 mile posted section from the confluence with the Cannon River upstream to Highway 19.",False,False,1
"BOWSTRING RIVER","Itasca","See Sand Lake.",True,False,0
"CAMP CREEK","Fillmore","Trout: catch-and-release on a 2.7-mile posted section from 0.8 miles above the confluence with the Root River, South Branch upstream 2.7 miles. Artificial lures and flies only. On the third Saturday in May, statewide regulations apply to the posted section of the stream.",False,False,1
"AGLE CREEK","Scott","Trout: catch-and-release only.",False,False,1
"CHO RIVER","St. Louis","See Crane Lake.",True,False,0
"FIRST RIVER","Itasca","See Winnibigoshish Lake.",True,False,0
"GARVIN BROOK","Winona","Trout: all from 12-16"" must be immediately released from the Highway 14 crossing to the source. Artificial lures and flies only.",False,False,1
"GRIBBEN CREEK","Fillmore","Trout: all from 12-16"" must be immediately released on the entire stream. Artificial lures and flies only.",False,False,1
"HAY CREEK","Goodhue","Trout: all from 12-16"" must be immediately released on a 4-mile posted section from 325th Street downstream. Artificial lures and flies only.",False,False,1
"HOOPER CREEK mouth upstream to State Highway 172 bridge","Lake of the Woods","Northern pike: see Lake of the Woods.",True,False,1
"KEDRON CREEK","Fillmore","Trout: catch-and-release only on the entire stream. Artificial lures and flies only.",False,False,1
"LAWNDALE CREEK","Wilkin","Brook trout: catch-and-release only for brook trout on a 3.5-mile posted section within Atherton Wildlife Management Area. Artificial lures and flies only. All hooks must be barbless.",False,False,1
"LOGAN CREEK","Olmsted","Trout: all from 12-16"" must be immediately released on the entire stream from the confluence with the Whitewater River, North Branch, upstream to the source. Artificial lures and flies only. LOON RIVER See Little Vermilion Lake.",True,False,1
"MAHOODS CREEK","Fillmore","Trout: all from 12-16"" must be immediately released on the entire stream.",False,False,1
"MILL CREEK","Fillmore and Olmsted","Trout: special catch-and-release season October 16 ‑ December 31 on posted reach in Chatfield from the confluence with the North Branch Root River upstream to Sprau’s tributary.",False,False,1
"isconsin border","inland waters of Pool 3","Walleye: minimum size limit 15"".",False,False,1
"MISSISSIPPI RIVER from Blandin Dam downstream to Coon Rapids Dam","Itasca, Aitkin, Crow Wing, Morrison, Benton, Sherburne, Wright, Anoka, and Hennepin","Muskellunge: catch-and-release only.",False,False,1
"MISSISSIPPI RIVER","Sherburne, Stearns and Wright","Smallmouth bass: all from 12-20"" must be immediately released from the confluence of the Crow River upstream to the St. Cloud Dam, including tributaries to the posted boundaries. Possession limit is 3, only 1 over 20"".",False,False,1
"MISSISSIPPI RIVER from Brainerd Dam upstream to Highway 6 including Rice, Little Rabbit, and Half Moon Lakes and connected backwaters","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,True,2
"MISSISSIPPI RIVER","Beltrami, Cass, and Itasca","See Winnibigoshish Lake.",True,False,0
"OTTER TAIL RIVER","Otter Tail, Becker, and Wilkin","Smallmouth bass: catch-and-release from Wilkin County Road 19 crossing upstream to the Friberg Dam including all impoundments, and from Otter Tail County Highway 51 upstream to the Hubbel Pond Dam including Mud, Rice, and Town lakes.",False,False,1
"PIGEON RIVER","Itasca","See Winnibigoshish Lake.",True,False,0
"PRAIRIE RIVER","Aitkin","See Big Sandy Lake.",True,False,0
"PRAIRIE RIVER from Prairie Lake Dam downstream to Mississippi River","Itasca","Muskellunge: catch-and-release only.",False,False,1
"RAINY RIVER","Koochiching","and tributaries (Koochiching and Lake of the Woods) See pages 68-70.",True,False,0
"RAT ROOT RIVER","Koochiching","See Rainy Lake.",True,False,0
"RAVEN FLOWAGE","Itasca","See Winnibigoshish Lake.",True,False,0
"RED LAKE TRIBUTARIES See Red Lake","page 45",".",False,False,0
"ROOT RIVER, Middle Branch","Fillmore","Trout: catch-and-release on the entire stream.",False,False,1
"ROOT RIVER, South Fork","Fillmore","Trout: catch-and-release on a 7.7 mile section from County Road 12 upstream to the source. Artificial lures and flies only.",False,False,1
"RUSH CREEK","Fillmore","Trout: special catch-and-release season October 16 - December 31 on posted reach in Rushford. ST. CROIX RIVER See pages 74-77.",True,False,1
"SANDY RIVER","Aitkin","See Big Sandy Lake.",True,False,0
"SAUK RIVER","Stearns","See Sauk River Chain of Lakes.",True,False,0
"SEA GULL RIVER","Cook","Walleye: See Saganaga Lake.",True,False,1
"SHOTLEY BROOK from Highway 72 West to Upper Red Lake","Beltrami","See Red Lake (page 45).",True,False,0
"SNAKE RIVER","Pine","See Cross Lake and Pokegama Lake.",True,False,0
"STONEY BROOK","Cass","Brook trout: all must be immediately released on the posted section beginning at the mouth at Upper Gull Lake upstream to the road crossing at County Road 29 (Minor’s Corner).",False,False,1
"TAMARACK RIVER","from the Beltrami County line west to Upper Red lake","See Red Lake (page 45).",True,False,0
"THIRD RIVER FLOWAGE","Itasca","See Winnibigoshish Lake.",True,False,0
"TROUT RUN CREEK","Fillmore and Winona","Trout: all from 12-16"" must be immediately released on the entire stream. Artificial lures and flies only.",False,False,1
"TROUT VALLEY CREEK","Winona","Brook trout: minimum size limit 12"". Possession limit 1. Artificial lures and flies only.",False,False,1
"TURTLE RIVER","Beltrami","See Turtle River chain of lakes.",True,False,0
"VERMILION GORGE","St. Louis","See Crane Lake.",True,False,0
"VERMILLION RIVER upstream of Vermillion Falls in Hastings and all tributaries","Dakota","Brown trout: catch-and-release only. Rainbow trout: regular statewide regulations apply.",False,False,2
"ATSON SAG","Chippewa","See Lac qui Parle Lake.",True,False,0
"ST INDIAN CREEK","Wabasha","Trout: all from 12-16"" must be immediately released from the upstream Wabasha County Road 4 crossing to the source.",False,False,1
"ST SAVANNA RIVER","Aitkin","See Big Sandy Lake.",True,False,0
"HITEWATER RIVER, North Branch","Wabasha, Olmsted and Winona","Trout: all from 12‑16"" must be immediately released on a 12.1 mile posted section from Township Road 29 upstream to County Road 4. Artificial lures and flies only.",False,False,1
"ISEL CREEK","Fillmore","Trout: all from 12-16"" must be immediately released on the entire stream.",False,False,1
"ZUMBRO RIVER, NORTH FORK","Goodhue and Wabasha","Trout: catch‑and-release on an 11.9 mile posted section from the Zumbro River, Main Branch upstream to Highway 10.",False,False,1
"ZUMBRO RIVER","Wabasha","Smallmouth bass: catch-and-release along a 12‑mile posted section from Highway 63 at Zumbro Falls upstream to the Zumbro Lake Dam. Home | Privacy Policy | For advertising opportunities please contact us. © . All Rights Reserved. Information from your device can be used to personalize your ad experience. Do not sell or share my personal information. Terms of Content Use",False,False,1
