LakeName,County,RegulationText,HasCrossReference,IsCompoundEntry,SpeciesCount
"CENTER LAKE, North and South","Chisago","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"CENTERVILLE LAKE","Anoka","Sunfish: daily limit 5.",False,False,1
"CHILD LAKE","Cass","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"CHISAGO LAKE","Chisago","Largemouth bass: all 12"" and larger must be immediately released.",False,False,1
"CLAMSHELL LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"CLEAR LAKE","Aitkin","Sunfish: daily limit 10.",False,False,1
"CLEAR LAKE","Waseca","Largemouth and smallmouth bass: catch-and-release only.",False,False,1
"CLEARWATER LAKE including connected Caroline, Augusta, Grass and Otter lakes and connecting portions of the Clearwater River","Stearns and Wright","Crappie: daily limit 5. Sunfish: daily limit 10.",False,True,2
"CLITHERALL LAKE","Otter Tail","Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"COON LAKE","Anoka","Walleye: minimum size limit 17"".",False,False,1
"COON-SANDWICK LAKE","Itasca","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"". CRANE LAKE including Vermilion Gorge and Echo River from mouth upstream to",False,False,1
"County Highway 424 bridge","St. Louis","Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession. Walleye and sauger: possession limit 6 combined, only 4 may be walleye.",False,False,2
"CRAWFORD LAKE","Wright","Crappie: possession limit 5. Largemouth bass: catch-and-release only. Perch: possession limit 10. Sunfish: possession limit 5. Walleye: possession limit 2.",False,False,5
"CROOKED LAKE","Anoka","Largemouth bass: catch-and-release only.",False,False,1
"CROOKED LAKE and connected Welsh Lake","Cass","Sunfish: daily limit 5.",False,True,1
"CROOKED LAKE","Stearns","Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"CROSS LAKE and connected waters including the Snake River under the I-35 bridges downstream to the Cross Lake Road/County Road 9 bridge","Pine","Sunfish: daily limit 10.",False,True,1
"CROSS LAKE RESERVOIR","Crow Wing","See Whitefish Chain.",True,False,0
"CROW WING LAKES, 1st, 2nd, 3rd, and 4th including the Crow Wing River from County Road 109 upstream to Crown Point Road","Hubbard","Sunfish: daily limit 5.",False,True,1
"CROW WING LAKES, 5th and 6th","Hubbard","Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"CROW WING LAKES, 8th, 9th, and 10th","Hubbard","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"CRYSTAL LAKE","Otter Tail","Sunfish: daily limit 10.",False,False,1
"CUT FOOT SIOUX LAKE and connected Little Cut Foot Sioux Lake, First River Flowage, and Egg Lake","Itasca",": See Winnibigoshish.",True,True,0
"DAGGETT LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"DAM LAKE and connected Lily Lake and Dam Brook","Aitkin","Sunfish: daily limit 10.",False,True,1
"DAVIS LAKE","Aitkin","See Big Sandy Lake.",True,False,0
"DEER LAKE","Beltrami","Largemouth and smallmouth bass: all from 14‑20"" must be immediately released, only 1 over 20"" allowed in possession. Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"". Sunfish: daily limit 5.",False,False,3
"DEER LAKE near Effie","Itasca","Sunfish: daily limit 5.",False,False,1
"DEER LAKE including Otter Tail River","Otter Tail","Sunfish: daily limit 10.",False,True,1
"DEMONTREVILLE LAKE","Washington","Largemouth bass: catch‑and‑release only.",False,False,1
"DIAMOND LAKE","Kandiyohi","Sunfish: daily limit 5.",False,False,1
"DIXON LAKE","Itasca","See Winnibigoshish.",True,False,0
"DUTCH LAKE","Hennepin","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"DYERS LAKE","Cook","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"AST LOST LAKE including Otter Tail River","Otter Tail","Sunfish: daily limit 10.",False,True,1
"AST TWIN LAKE","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5. ⁕NEW—EDEN LAKE (Stearns) Catfish special regulation repealed.",False,False,3
"DWARD LAKE","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"LEPHANT LAKE","St. Louis","Sunfish: daily limit 10.",False,False,1
"LLIOT LAKE","St. Louis","Sunfish: daily limit 5.",False,False,1
"UNICE LAKE","Becker","Sunfish: daily limit 5. Crappie: minimum size limit 10"". Daily limit 5. Largemouth and smallmouth bass: all from 12-20"" must be immediately released, only 1over 20"" allowed in possession. ⁕NEW—FARM LAKE (Lake) Northern pike special regulation repealed. Walleye: (includes the North Branch Kawishiwi River from Farm Lake 4.8 miles east to the long portage) All from 17-26"" must be immediately released, only 1 over 26"" allowed in possession.",False,False,5
"FARM ISLAND LAKE","Aitkin","Walleye: all from 16-19"" must be immediately released, only 1 over 20"" allowed in possession. ⁕NEW—FISH LAKE near Parkers Prairie (Otter Tail) Sunfish: daily limit 5. Crappie: daily limit 5. ⁕NEW—FISH LAKE near Weetown (Otter Tail) Sunfish: daily limit 5. Crappie: daily limit 5.",False,False,5
"FISH LAKE RESERVOIR","St. Louis","Walleye: all less than 13"" or greater than 17"" must be immediately released, except 1 over 26"" allowed in possession. Possession limit 3. Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,3
"FISH TRAP LAKE","Morrison","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"FLADMARK LAKE","Otter Tail","Sunfish: possession limit 10. Northern pike, largemouth and smallmouth bass: catch-and-release only. Crappie: possession limit 5.",False,False,3
"FLORIDA LAKE","Kandiyohi","Sunfish: daily limit 10.",False,False,1
"FLOUR LAKE","Cook","Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"FLOWAGE LAKE","Aitkin","See Big Sandy Lake.",True,False,0
"FOSTER-AREND LAKE","Olmsted","Trout: continuous season. Possession limit 3, only 1 over 16"" allowed in possession. Sunfish, crappie, yellow perch, largemouth and smallmouth bass, see Rochester–Olmsted County Area Lakes.",True,False,2
"FOX LAKE","Beltrami","See Turtle River chain of lakes.",True,False,0
"FRANKLIN LAKE","Otter Tail","Crappie: minimum size limit 10"", daily limit 5. Sunfish: daily limit 5.",False,False,2
"GAMEHAVEN","Boy Scout Lake or Willow Reservoir No. 4","(Olmsted) See Rochester–Olmsted County Area Lakes. ⁕NEW—GARDEN LAKE (Lake) Northern pike special regulation repealed. Walleye: all from 17-26"" must be immediately released, only one over 26"" allowed in possession.",True,False,2
"GARFIELD LAKE","Hubbard","Sunfish: daily limit 5.",False,False,1
"GEORGE LAKE","Hubbard","Northern pike: all from 24""-36"" must be immediately released. Possession limit 3, only 1 over 36"". Largemouth and smallmouth bass: all 14‑20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,2
"GEORGE LAKE","Kandiyohi","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"GILBERT LAKE","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"GILCHRIST LAKE","Pope","Sunfish: daily limit 10.",False,False,1
"GIRL LAKE","Cass","Northern pike: all from 24""-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"GLADSTONE LAKE","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"GOODRICH LAKE","Crow Wing","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"GOOSE LAKE","Chisago","Crappie: daily limit 5. Walleye: minimum size limit 17"".",False,False,2
"GRASS LAKE","Wright","See Clearwater Lake.",True,False,0
"GRAVE LAKE","Itasca","Sunfish: daily limit 5.",False,False,1
"GREAT NORTHERN LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"GREEN LAKE","Chisago","Walleye: minimum size limit 17"", only 1 over 20"" allowed in possession.",False,False,1
"GREEN LAKE","Kandiyohi","Walleye: possession limit 3.",False,False,1
"GREEN PRAIRIE LAKE","Morrison","Sunfish: possession limit 10.",False,False,1
"GRINDSTONE LAKE","Pine","Smelt: seines may not be used within 100' of any inflow or outflow of the lake.",False,False,0
"GROVE LAKE","Pope","Sunfish: daily limit 10.",False,False,1
"GULL LAKE","Beltrami","Sunfish: daily limit 5.",False,False,1
"GULL LAKE CHAIN including connected Gull, Upper Gull, Margaret, Ray, Love, Nisswa, Roy, and Round lakes","Crow Wing, Cass","Northern pike: all from 30-40"" must be immediately released, possession limit 2, only 1 over 40"". ⁕NEW—GULL LAKE (Cook) Walleye: see Saganaga Lake.",True,True,2
"GUN LAKE","Aitkin","Sunfish: daily limit 10.",False,False,1
"HALF MOON","Crow Wing","See Mississippi River.",True,False,0
"HASKELL LAKE","Itasca","See Balsam Lake (Itasca).",True,False,0
"HEIGHT OF LAND LAKE","Becker","Sunfish: daily limit 10.",False,False,1
"HENRY LAKE","Douglas","Largemouth and smallmouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"HORSESHOE LAKE and connected Minnewawa Lake","Aitkin","Walleye: possession limit 3. Sunfish: daily limit 10.",False,True,2
"HORSESHOE LAKE","Cass","Near Backus. Sunfish: daily limit 5.",False,False,1
"HORSESHOE LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"HOVDE LAKE","Cass","Largemouth bass: catch-and-release only.",False,False,1
"HUBERT LAKE","Crow Wing","Largemouth and smallmouth bass: all 12"" and larger must be immediately released. Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,3
"HUNGRY JACK LAKE","Cook","Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"INDIAN LAKE","Wright","Sunfish: daily limit 10.",False,False,1
"INGUADONA LAKE and connected Rice Lake","Cass","Sunfish: daily limit 10. Crappie: daily limit 5.",False,True,2
"IRENE LAKE","Douglas","Sunfish: daily limit 10.",False,False,1
"ISLAND LAKE","Becker","Sunfish: daily limit 10.",False,False,1
"ISLAND LAKE near Ponto Lake","Cass","Sunfish: daily limit 5.",False,False,1
"ISLAND LAKE near Deer River","Itasca","Sunfish: daily limit 5.",False,False,1
"ISLAND LAKE near Northome","Itasca","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"". Walleye: all from 17-26"" must be immediately released, only 1 over 26"" allowed in possession.",False,False,2
"ISLAND-LOON LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"ISLAND LAKE RESERVOIR including Cloquet River from mouth of Island Reservoir upstream 0.5 miles to rapids and Otter River from mouth of Island Reservoir upstream to Boulder Reservoir dam","St. Louis","Walleye: all from 15-20"" must be immediately released. Possession limit 10, only 1 over 20"".",False,True,1
"ITASCA LAKE","Clearwater","Crappie: daily limit 5. Sunfish: daily limit 5.",False,False,2
"JANE LAKE","Washington","Largemouth bass: catch-and-release only.",False,False,1
